refined_roman_sentences
Tum kahan jaa rahe ho aaj kal?
"Mujhe bhook lagi hai, kuch khana hai."
aaj kal tumhara waqt kaise guzar raha hai dost?
mera sar dard ki wajah se phata ja raha hai.
wo aajkal apni parhai mein bohat zyada masroof hai.
kya tum mere saath bazaar chal sakte ho aaj?
mujhy is kaam mein tumhari madad ki sakht zaroorat hai.
kya tum ne kabhi peshawar ki mashoor chappal kabab khaye hain?
hum agle mahine shimla ghoomne ka plan bana rahe hain.
baarish ke baad mausam bohat hi khushgawar ho gaya hai.
subah ki sair sehat ke liye bohat zyada mufeed hoti hai.
meri tabiyat kal se kuch behtar mehsoos ho rahi hai ab.
tum ne apni zindagi mein sab se mushkil kaam kya kiya hai?
kya hum aaj raat bahar khana khane chal sakte hain dosto?
mujhy lagta hai wo ab tak ghar ni pahuncha hoga.
"ye waqt guzarte der ni lagti, is liye khayal rakho."
kal subah office mein hamari aik zaroori meeting hai.
tum ne apni aane wali chuttiyon ka kya socha hai bhai?
aaj kal shehar mein bijli ka masla bohat zyada hai.
"mujhse galti ho gayi, mujhy maaf kar diye please dost."
kya tum mujhy airport drop kar sakte ho kal subah?
"wo har waqt mobile pe laga rehta hai, ye achi baat ni."
hamare bachpan ki yaadein bohat hi dilchasp hain.
tum kab se yahan faisalabad mein reh rahe ho mere dost?
mujhy apni aakhri imtihan ki nateeje ka intezar hai.
kya tum ne kabhi pahaaron mein trekking ki hai kabhi?
ye kitaab mujhy bohat pasand aayi hai parhne ke liye.
kya tumhare paas extra charger hai mere phone ke liye?
wo har choti baat pe gussa ho jaata hai aajkal.
"mujhy dar lag raha hai, kuch samjh ni aa raha abhi."
hum ne apne ghar mein naya furniture khareeda hai.
kya tum ne doctor ko apni tabiyat ki bari mein bataya?
baarish ki wajah se raste bohat phisal rahe hain.
mujhy lagta hai tum thora aaram karo chahiye abhi.
kya tumhare bhai ne apni naukri shuru kar di hai?
wo har waqt bas khane ki bari mein sochta rehta hai.
mujhy ab tak apna paigham ni mila un ki taraf se.
"tumhare chehre pe bohat chamak hai, kya baat hai?"
kya tumhy yaad hai hamari pehli mulaqat kab hui thi?
ye musafirkhana bohat saaf suthra aur aaram deh hai.
kya tum mere liye aik cup garam chai bana sakte ho?
mujhy tumhari ye baat bilkul bhi pasand ni aayi.
wo aajkal apni sehat ka bohat khayal rakh raha hai.
kya tumhare ghar mein koi mehmaan aa hue hain aaj?
hum ne kal raat aik bohat achi film dekhi cinema mein.
ye phool bohat khoobsurat hain aur khushboo bhi achi hai.
mujhy lagta hai tum apna khana sahi se khana chahiye.
kya tum mujhy station tak drop kar sakte ho subah?
wo har waqt sirf apne fayde ki bari mein sochta hai.
humein apne mulk ki tarraqi ke liye kaam karo chahiye.
kya tum ne un nayi dukaan dekhi hai bazaar mein?
mujhy kal raat neend bilkul bhi ni aayi thi.
"tumhara imtihan kab hai, tayari kaisi chal rahi hai?"
wo har waqt mujhy tang karta rehta hai bina wajah.
mujhy aik naye jooton ka jora khareedna hai jald.
"Assalam o alaikum, kesay hain aap sab log?"
"Walekum assalam, mein theek hun aur aap sunao?"
"Aap kaise hain, kya chal raha hai aaj kal?"
"Mein bilkul theek hun, koi masla nahi hai."
"Aaj mausam kaisa hai, garmi hai ya thanda?"
"Aaj bohat zyada garmi hai, bahar nikalna mushkil hai."
"Kya thanda pani mil jayega, bohat pyas lagi hai?"
"Aap ghar se kitna door hain, kitni dair lagegi?"
"Aap kitne baje aa rahe hain, kya time hai?"
"Subah subah kahan ja rahe ho, koi khas kaam hai?"
"Tumhara naam kya hai, apna naam batao?"
"Mein nahi janta, mujhe iska jawab nahi pata."
"Yeh kya cheez hai, mujhe iske bare mein batao?"
"Mujhe samajh nahi ayi, zara dobara samjhao."
"Bohat acha idea hai, mujhe yeh pasand aaya."
"Ab kya karna hai, aage ka kya plan hai?"
"Chalo chalte hain, der ho rahi hai, jaldi karo."
"Ruko thora, mein abhi aata hun, wait karo."
"Mein tum se pehle aaya tha, tum late ho gaye."
"Tum ne khana kahan khaya, mujhe bhi batao?"
"Mein ne khana nahi khaya, mujhe bhook lagi hai."
"Kal kya hua tha, koi khas baat thi kya?"
"Aaj kya haal hai, sab theek chal raha hai?"
"Aap kab aaoge, mujhe intezar rahega?"
"Mein jald aaonga, bas thora sa kaam hai."
"Tum bhi aaoge na, mera intezar karna?"
"Yeh kahan se mila, mujhe bhi batao?"
"Kitna paisa lagega, mujhe bhi batao?"
"Bilkul free hai, koi paisa nahi lagega."
"Yeh kaam mat karo, yeh theek nahi hai."
"Tu kahan ja raha hai, mujhe bhi batao?"
"Ghar ja raha hun, thora aaram karne."
"Kitne baje hogaya hai, time kya hua hai?"
"Tum nahi jaoge kya, mera saath chalo?"
"Haan mein jaoonga, tum chalo mere saath."
"Nahi mein nahi jaoonga, mujhe kaam hai."
"Tumhari maa kahan hai, kya kar rahi hain?"
"Wo ghar per hain, aram kar rahi hain."
"Tumhare paas mobile hai, mujhe dikhao?"
"Mobile to hai, par battery khatam hai."
"Tu khana kahan khaane gaya tha, mujhe batao?"
"Mein to khana khaa chuka hun, abhi aaya hun."
"Tu ne kitne paper diye, kitne baaqi hain?"
"Mein ne teen paper diye, baaqi abhi hain."
"Konsa subject pasand hai tujhe, kya acha lagta hai?"
"Mujhe physics pasand hai, bohat interesting hai."
"Chemistry mushkil hai, samajh nahi aati."
"Biology bohat interesting hai, parhni chahiye."
"Math ka paper kab hai, mujhe bhi batao?"
"Kal subah math ka hai, tayyari karo."
"Tum ne tayyari ki hai, ya nahi ki?"
"Thori si kar li hai, baaqi abhi hai."
"Jaldi se tayyari karo, paper qareeb hai."
"Mein koshish kar raha hun, par samajh nahi aa raha."
"Tum nahi so sakte, neend nahi aa rahi?"
"Nahi mujhe neend nahi arahi, kya karoon?"
"Kya problem hai, kyun pareshan ho?"
"Bas dimagh zyada kaam ker raha hai, kuch samajh nahi aa raha."
"Chai pi lo, thora aaram ho jayega, fresh ho jaoge."
"Chai to pi li, par fida nahi"
Aur wo asal mein kya cheez hai?
Hope rakhni chahye zindagi mein.
Hope chor dena mushkil hota hai.
Tum kab tak is hope ko rakhogi?
Jab tak koi aur achi hope na mil jaye.
Tum ne kisi ko kabhi chance diya hai?
"Haan, maine ek galat bande ko chance diya."
Galat bande se sahi cheez nahi milti.
Tum ko ye baat kaise pata chali?
Dil ne mujhe ye baat kahi thi.
Dil keh sakta hai lekin dimagh nahi sunta.
Dimagh ko sunne ke liye kuch chahye tha.
Sunane walon ko bhi baat ki samajh honi chahye.
Samajh kaise aayegi is baat ki?
Communication se samajh aa sakti hai.
Tum ne mujhe ye baat batayi nahi thi.
Maine bataya tha lekin tum ko samajh nahi aayi.
Tum ne saaf saaf baat nahi ki thi.
Saaf baat karne se aksar mana kiya jata hai.
Tum akhir kyun maan gaye the?
Tum ne akhir kya maan liya tha?
"Kuch nahi, bas sab kuch maan liya tha."
Sab kuch maan lena zindagi nahi hai.
Tum ko us waqt fight kerni chahye thi.
Fight kaise karoon jab dil hi nahi chahta?
Tum ko asal mein kya chahye tha?
Mujhe sirf ek dua ki zarurat thi.
Konsi dua tum mangna chahte ho?
Allah meri zindagi ko sahi kar de.
Allah ki dua kab tak wait karti hai?
Jab tak aap khud kuch nahi karte.
Tum ne asal mein kya kiya tha?
Maine bas dua ki thi aur wait kiya.
Ab mujhe aage kya karna chahye?
"Utho, jago, aur apni zindagi jiyo."
Mein apni zindagi kaise jee sakta hun?
Apni zindagi apni marzi se jeena seekho.
Apni marzi se jeena mushkil hota hai.
Mushkil hai lekin mumkin zaroor hai.
Tum akhir kyun keh rahe ho ye sab?
Kyun ke tum mere bahut achay dost ho.
Dosti asal mein akhir kya cheez hai?
Dosti wo hai jo dil mein hamesha rehti hai.
Tum hamesha mere saath rahoge na?
"Haan, mein hamesha tumhare saath rahunga."
Zara mujhse ek promise karo abhi.
"Promise nahi, mein tumse oath karta hun."
Tum kis cheez ki oath le rahe ho?
Mein dosti nibhane ki oath leta hun.
Tum ko dosti ki qeemat ka pata hai?
"Haan, kyun ke tum ne mujhe kho diya tha."
Tum ne mujhe kyun kho diya tha?
Tum ne ek galat insaan ko pasand kiya.
Pasand karna hum se zyada qismat ka khel hai.
Qismat ko badla nahi ja sakta hai.
Tum ko aisa kyun lagta hai phir?
Kyun ke fate ko control nahi kiya ja sakta.
"Fate nahi, asal mein choices hoti hain."
Choices bhi kabhi kabhi logon ki nahi sunti.
Tum ne asal mein kya choice ki thi?
Tum se milne ki choice ki thi maine.
Lekin tum ne phir aisa kyun nahi kiya?
Meri maa ne mujhe aisa karne se mana kiya.
Kya tum ne phir maa ki baat sun li?
"Haan, mein us waqt sunne par majboor tha."
Tum ne us waqt kya jawab diya tha?
"Kuch nahi, mein bas chup raha tha."
Chup rehna bhi kabhi kabhi ek gunaah hai.
Gunaah kyun hai chup rehna phir?
Kyun ke tum ne sahi baat ko chor diya.
Sahi baat kehna bhi kabhi mus
"Tum ny jo dua ki thi, wo sach ho gai thi."
"Har koshish kay baad, aik naya sapna jee uthta hai."
"Tum ny jo khushi di thi, wo kabhi khatam nahi hogi."
"Tumhare saath jo guzri, wo aik khwab thi."
"Tum ny jo wada kiya tha, wo sahi ho gaya."
Zindagi mein har koi aik naya sapna lekar aata hai.
"Tum ny jo dua ki thi, wo sach ho gai thi."
"Har koshish kay baad, aik naya sapna jee uthta hai."
"Tum ny jo khushi di thi, wo kabhi khatam nahi hogi."
"Tumhare saath jo guzri, wo aik khwab thi."
"Tum ny jo wada kiya tha, wo sahi ho gaya."
Zindagi mein har koi aik naya sapna lekar aata hai.
"Tum ny jo dua ki thi, wo sach ho gai thi."
"Har koshish kay baad, aik naya sapna jee uthta hai."
"Tum ny jo khushi di thi, wo kabhi khatam nahi hogi."
"Tumhare saath jo guzri, wo aik khwab thi."
"Tum ny jo wada kiya tha, wo sahi ho gaya."
Zindagi mein har koi aik naya sapna lekar aata hai.
"Tum ny jo dua ki thi, wo sach ho gai thi."
"Har koshish kay baad, aik naya sapna jee uthta hai."
"Tum ny jo khushi di thi, wo kabhi khatam nahi hogi."
"Tumhare saath jo guzri, wo aik khwab thi."
"Tum ny jo wada kiya tha, wo sahi ho gaya."
Aaj kal mausam bohat thanda aur khushgawar hai.
Mein ny aaj ghar se bahar nahi gaya.
Subah se ab tak barish ho rahi hai.
"Chai mein doodh kam tha, isliye nahi pi."
Tum ny apna khana kahan khaya tha aaj?
Ghar mein koi fresh roti nahi thi.
Market ja kar do kilo tamatar le ana.
Mobile net ajkal slow ho raha hai.
Mobile ki battery bas 5% reh gai hai.
Mujhy phone charge kerna parega abhi.
Mein bus stand se ghar tak chal ker aaya.
Traffic se bachny kay liye jaldi nikla.
Taxi driver ny bill zyada mangha tha.
Hotel mein menu card samajh nahi aya.
"Biryani bohat spicy thi, phir bhi pasand ayee."
Mein ny apna order cancel ker diya tha.
Wo restaurant ajkal bohat famous ho gaya hai.
Lunch mein mein ny chicken fry khaya.
Dinner kay liye mein ny kuch nahi banaya.
"Tum ny dinner kahan khaya, ye batao?"
Mein ny bas aik glass doodh piya tha.
Tum ny apna lunch kyun nahi khaya?
Appetite nahi thi isliye nahi kha saka.
Restaurant mein bohat zyada crowd tha.
Tum ny kya order kiya tha restaurant mein?
Mein ny pulao aur salad mangwaya tha.
Dessert mein mein ny ice cream khai.
Bill share ker lete to accha hota.
Tum ny bill kyun nahi share kiya?
Mein ny kaha tha kay mein duwa doonga.
Tum ny bill total kitna diya tha?
Total 1500 rupees diye thay mein ny.
Tum ny cash diya ya card use kiya?
Cash diya kyun kay card ki limit cross ho gai thi.
Tum ny kya khaya jo tumhy pasand aya?
Paratha aur omelette khaya tha mein ny.
Tum ny kya khaya jo tumhy pasand nahi aya?
Halwa bohat oily tha isliye nahi pasand aya.
Tum ny kya khaya jo best tha?
"Chicken burger bohat tasty tha, mazaa agaya."
Tum ny kya order kiya jo delay hua?
Pasta order
"Boobs to mast hain, ray, kya kehna hai!"
"2001 mein computer game Tomb Raider pe banne wali film Lara Croft, Tomb Raider mein Lara Croft ka kirdar ada karne ki bad un ki maqbooliyat mein hairat angez izafa huwa aur unhay action heroine ki tor pe jana gaya."
"North Karachi Zareena Colony mein firing se ek shaks janbahaq, qatil."
"Sir ne apni Indore ki liye kaha tha ki mein Mumbai mein rah kar aaya hun, mein waha tha lekin mein ab bhi Indori hi hun, rewa MP."
"Golimar mein pani aur bijli ki adam farahmi ke khilaf awam ka ehtijaj road block, qatil."
"Kuttay, is dramay ke liye itne paise ura diye tum ne, itne paise mujhe dety mein business kar leta."
"Belu wale chahye, kya baat hai!"
"Haramkhoro, awam ko roti chahiye, ja unhay mil nahi rahi, is tayyari ko Bajwa aur Asim Munir ki gand mein dalo, jab India se jang to karni nahi tum logo ne, udhar tum logo ki phat jati hai, 70 saal se apne logo ko qatal kar rahe ho, haramkhor."
"Haha, yeh khud dosri shadi karna chahte hain, qatil."
"Aik wo Imran qatil, aik yeh Imran qatil, dono qatil begherton ke qatil sardar hain, qatil chor ka saathi chor qatil hi hoga, Khwaja ka gawah Daddu qatil wala mamla, qatil dono qatil azab mulk pe, qatil kanjarr."
"Khuda aap ka saath ho, hamesha!"
"Wow wow, kya kehne hain, zabardast!"
"Imran Khan is the best and the great leader, zindabad Imran Khan is a good person."
"Dub ki marr ja, sab politicians, sab means sab, all parties."
"Haan, phir sunao, kya hua?"
Jab Depp 15 baras ki hui to in ki walidain ki mabain alhadgi ho gayi.
"Lanat tumhare interview pe, Lahore ke badmasho pe case karo, us pe kyun kar rahe ho, ajeeb insaan, jis pe case karna banta hai us pe kar ke dikhao aur interview do, phir dekhen ge ki tumhari awaz nikalte bhi hai, yeh jahil gawar, apne bachon ki tarbiyat karo, tum to interview mein galiyan de rahe ho, lanti insaan."
"Itne achhe gaane ko bhi 78k dislikes, kaun hai yeh bhosdiwale, kaha se aate hain yeh log?"
"Badla brother, lanat hai teri pe!"
"Sanam Teri Kasam movie ke baad roya tha, is ke baad yeh pura drama dekh kar roya hun, salute to Pakistan, love from India."
"Rula diya is song ne to, so emotional song hai yeh."
"Sadkay jaon, kya kehna hai!"
"Ni baba, muhnjo mike tore chadndia tun, hi mayi ta po bhaji wai tan haroun baru matho pharndia muhnjo."
"Bakwas karta reh, is beghairat ko bulaty kyun ho tum log?"
"Izzat sab ki hai, lekin yeh baat sahi hai ki yeh awam ko paise de kar qatil bolaty hain, qatil, ab recently Hunri City mein bhi jalsa huwa, awam ko paise de kar convince le ke gaye hain."
"Qatil, 1956 ki aaeen ki tayyari mein mashriqi aur maghrabi Pakistan mein masawat ka asool manwane mein Hussain Shaheed Suhrawardy ne nihayat ahem kirdar ada kiya."
"Bachon ko lag raha tha ki kya design banaya hai, wah!"
Hindustani art cinemas ki qad aawar artists ki top of the list murattab ki jaye to Farooq Sheikh ka naam yaqeeni tour pe is mein shamil hoga.
"Aa sahab, kya haal hai?"
"Is ki kitne plots hain, batao zara?"
"First car bomb blast New York's Wall Street mein hua tha, qatil."
"Meri ami to batati hain,"
"Khud hi lagwatay hain, khud hi defuse karwati hain, pagal samjhtay ho kya awam ko?"
"Bilkul he fuzool, bekaar aur kisi bhi kaam ka nahi hai ye product, iski quality bohat low hai."
"Tamam pareshaniyan door ho jaen, dua farma den, Allah aapko khush rakhe."
"Yaar, aisa serial phir se aana chahiye, ek baar phir se, bohat maza aya."
"Kamm kaam, backwas zyada, video edit nahi kar sakti, thora mushkil hai."
"Dusri movie ka naam kya hai, zara batao toh sahi, please?"
"Jis shakhs ne sari zindagi nazaron aur tamashon ki samne apni fun ka muzahira kiya, wo sharmeela kaise ho sakta hai?"
"Isko khud psychologist ki zaroorat hai, iski halat dekho toh sahi."
"Ye wohi hai jo kehta tha ki kaash mere walid hote, afsos."
"Kyun bakwas kar rahe ho, corona is a political point, harassed people, sab bakwas hai."
"Toba toba, Rajputni, ye kya baat hai, zara dekho toh."
"Jo tumhen Rasool den wo le lo aur jis cheez se tumhen mana karein us se tum baaz raho, Allah se daro."
Council of Foreign Relations ne 1986 aur 1997 mein inhe best teacher ke award se nawaza tha.
"Lanat hai un madarchodon pe jo abhi bhi chor aur thugs ko support kar rahe hain, jinki wajah se hum 70 saal peeche chale gaye."
"Rimsha ka kya haal hai, uski koi khabar hai ya nahi?"
"Love you so much maa jaan, Allah hum sab ki maa jaan ko hamesha khush rakhe aur lambi sehat wali zindagi ata farmaye."
Duniya aur akhirat mein lanat tumhara muqaddar hai aur in sha Allah hamesha rahegi.
"Allah pak in ki aagay ki zindagi bhi asaan kare, Ameen."
"Dil pe le gaye, yaar, bohat bura laga, kya karun?"
"Vichar ki bachay, apni shakal check karo, lanat hai tumhari per, PMLN zinda baad."
"Mila wahi jo pic mein hai, lekin quality theek nahi thi, afsos."
"Mari por mein police ki karwai, 2 logon ko mola zubair group se giriftar kiya, qatil."
"Lanat hai, aise logon pe, sharam aani chahiye."
"Wo khud bhi mutarannum thay, is liye unhon ne aisi lafziyat ka intakhab kiya jo ghanaiyat ki peykar pe poori utarti hai."
"Mashallah, Allah pak aapko kamyabi de, Ameen, dua mein yaad rakhna."
"Pata nahi tum kaun sa constitution follow karte ho, wo election nahi lad sakta, campaign pe koi pabandi nahi hoti."
Un dino Kenya mein summer cup tournament khela ja raha tha aur Mushtaq Ahmed unfit ho gaye thay.
"Kya baat hai bhai ka, zara batana toh, kya hua hai?"
"Jin se unhon ne lakhon dollars kharch kar ke jaan churayi hai, sharam aani chahiye."
"Hahaha, idea acha hai, qatil api, mazaa aa gaya."
Mein toh barey tassuf ki saat ye baat chah raha hun ki is se hamari fun aur saqafat ki shobay ki kaam maeiygi aur mehroomi ka izhar hota hai.
"Toh un dono husband wife ki larai karwa de, Babloo, qatil, ye kya hai?"
"Aise waqiyat sirf PMLN hi karwa sakti hai, agar PTI ne karwaya hai toh mard bano aur aisa karo."
Alipur jail mein in ki mulaqat Calcutta Corporation ki us waqt ki meyar Mohammed Usman se hui thi.
"Ko teri bedroom mein bhi ghuse thay, ye kya baat hai?"
"Bhai, agar marital rape ka scene hai toh phir toh bye bye banta hai, afsos."
"Hard role bhai, mushkil hai, lekin acha hai."
Apne
"Allah Pak reham farmaye, hum sab pe reham farmaye."
"Is se behtar teri aza bhi nahi qatil, yeh toh galat hai."
"Oh behn deni deyo, kutto laga do 12 episodes, mazaa aa gaya."
"Allah aapko madad send karega, inshallah, hum dua karte hain."
"Dramay baaz haram khor, inko sharam nahi aati hai."
"Bari koi bhi nahi hai, sab ajeeb lag rahe hain."
"Itni zyada tareef na karo, message nahi aa gaya qatil?"
"Itna gussa kyun, jeet toh gaye ab, ab bhi mazaa nahi aaya kya?"
"Aaja pilati hai, kya baat hai, aaja pilati hai."
"Budha mil gaya, ab kya karein, budha mil gaya."
"Tumhari khushi jaldi gham mein badlay gi, inshallah, cherry blossom khan aa raha hai."
"Allah Pak tum ko aur jis jis ne saath diya, sab ko jahannam dar kare, gharesb se roti cheen kar logon ki peeth nahi bhartay, sharam karo."
"Allah behtareen quality hai, sir, aap ne kamaal kar diya."
"Sandals aur shoes toh gayab ho gaye, pata nahi kaha gaye."
"Bilkul sahi kaha, aap ki baat bilkul sahi hai."
"Bohat zabardast drama hai, haan, dil khush ho gaya."
"Khoti ka bacha harami Niazi, tumhari himmat kaise hui?"
"Oh bhai, jab Allah ne taufeeq di hai aur asbaab banaye hain, phir kyun is tarah ke kaam ko appreciate kar rahe ho, koi teer nahi maar raha paidal ja kar."
"Mam, aap bahut achi achi aur useful jaankari lekar aa rahi hain, kya aapko pata hai hum jaise aurton ki kitna madad kar rahe hain, hum apse bohat zyada prabhavit hain, mam, kirpya hamein isi tarah nayi nayi jankariya dete rahein, please."
"Yeh cheez, mujhe yeh cheez bohat pasand hai."
"Yeh wala sabar ka phal chahiye, hum intezaar kar rahe hain."
"Shahana anti aur Arsal ki Punjabi bohat ala hai aur sab characters bohat ala hain, thanks to team of Sun Chanda and DJ toh kamaal hi hai."
"Maine 2 baar try kiya tha, but ubalne ke baad rasgulla fat fat jaate hain, kya karun?"
"Billo bandri, oh sorry Rani, xd, qatil, kya baat hai."
"Yeh kamaal ka banda hai, bohat ilm hai is ke paas, subha nallah."
"Wa wa wa, great, kamaal kar diya aap ne."
"Jubin bhai, remake banao, hum intezaar kar rahe hain."
"Yeh admin zabardasti aise prime minister ko banane pe tulla hua hai, kya baat hai."
"Wala qatil emoji hota toh mein daal deta, kya karun."
"Dil toot gaya qatil, ab kya karein, dil toot gaya."
"Bahut khoob, aap ne kamaal kar diya."
"Lanat hai kutte ke bachay, tumhari himmat kaise hui?"
"Aur yeh sab jo Imran Khan sab ne sell out is ki price pe kiye thay aur tax bhi diye tha, unlike baqi ke chor corrupt Nawaz Zardari and families ne sirf rakh liye aur gayab ho gaye."
"Kamaal cha gaye qatil, aap ne toh kamaal kar diya."
"Youthiya ho ga yeh, mujhe toh yeh lagta hai."
"Lanat hai Pakistan pe, hukoomat karne walay hukamrano pe, sharam karo."
"Anaya ki expressions and eyes kitna bakwas lag rahe hain, mujhe toh acha nahi laga."
"Imam bibi amor e khana dari ki taleem detein, silai karahai sikhatein, apni bahu betiyon se parhnay likhnay ki alawa dini taleem dilwatein."
"Abay chutiya, billion dollar ka pata kitnay hotay hain, tumhein pata hai?"
"Mein sha Allah, Allah Pak rehna mubarak"
"Multan mein pandamart hai, haan ya nahi?"
Lanat ho Musharraf ke kote par.
"Pagal log harami ko follow kar rahe hain, yeh galat hai."
"Jo mujhe parcel mila hai us mein se toh bohat hi low quality ke gloves nikle hain, phate hue aur bohat hi ghatiya quality ke."
"Bohot khoobsurat lag rahi hai, kya baat hai!"
"Dard bhare manzar mein le aayi aapki yeh shayari, yaqeen kariye, mazaa aa gaya."
Eid Mubarak sir Hakeem Tariq sab aur sab Abqari team ko.
Urdu Point walon ko koi trained anchor rakhna chahiye.
